host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
197755,0,21,1,99,3,111,68
303939,3,55,0,36,2,193,360
303939,3,55,0,37,2,147,0
303939,3,55,0,37,2,177,320
306545,1,19,1,175,3,185,326
306605,1,14,1,205,9,62,76
306739,0,20,1,285,3,124,279
308875,0,12,0,59,2,181,15
303939,3,55,0,36,2,333,340
307962,2,56,1,99,5,441,226
308652,0,0,0,39,1,45,365
310458,0,16,0,60,14,9,0
310670,4,58,1,105,2,38,365
170510,0,6,1,135,2,248,11
306545,1,19,1,390,5,143,316
311286,0,6,0,70,3,36,281
313317,0,15,0,100,3,279,301
311286,0,6,0,70,4,18,189
314256,0,15,0,110,6,50,0
314582,0,15,0,60,2,227,287
7310,1,53,1,90,14,1,14
46978,1,19,0,68,2,203,86
317809,1,8,1,115,2,210,261
319092,0,6,0,75,5,64,68
320450,1,19,1,129,7,5,231
320761,0,12,1,130,10,49,152
320538,0,12,1,95,4,132,46
321756,1,2,0,75,3,20,364
321934,0,16,1,175,2,11,246
322884,0,33,1,190,3,51,288
324460,1,19,1,212,3,67,51
314941,1,23,0,95,1,109,364
325389,0,12,1,140,2,9,254
136227,1,2,1,135,6,187,189
327673,0,16,1,150,2,214,263
329436,0,34,1,190,3,69,258
332189,1,45,0,122,3,93,246
323517,1,8,0,109,1,104,364
240427,0,6,1,145,3,127,72
342054,1,8,1,195,11,30,249
282655,0,33,1,250,2,106,272
343250,0,20,0,125,3,6,325
281229,1,53,1,575,2,191,298
155689,0,21,0,70,5,47,203
353965,1,18,0,90,2,120,132
354330,1,19,0,65,3,52,5
72062,1,19,1,500,2,48,297
361855,1,30,1,250,3,32,276
365153,0,20,1,229,1,50,188
373085,1,8,1,110,13,38,0
340692,0,20,0,59,3,29,15
211877,0,12,1,195,4,59,71
389924,0,12,1,169,1,68,215
331328,1,4,1,113,14,26,253
391325,1,2,1,250,14,31,78
265109,2,56,1,115,2,198,257
394752,0,20,0,55,2,1,0
308875,0,12,0,69,2,220,8
401696,1,23,1,150,3,286,191
118971,0,10,1,169,2,398,182
417504,0,20,0,179,3,36,79
134355,1,7,0,150,3,36,49
422561,0,38,1,135,4,6,0
425506,0,3,1,350,6,14,156
430188,0,12,0,120,14,76,343
434987,1,19,0,71,2,182,200
417504,0,20,0,349,3,8,60
417504,0,20,0,349,3,7,60
417504,0,20,0,249,3,2,60
448312,0,32,0,100,3,66,0
448312,0,32,1,200,3,80,106
449787,1,19,1,169,4,240,276
451545,0,6,1,185,3,46,248
453519,0,21,1,65,2,228,194
410094,1,19,1,225,2,33,0
417504,0,20,0,179,3,13,81
459054,0,15,1,150,5,5,0
462776,1,19,1,139,1,388,142
464506,1,60,0,95,3,223,60
327900,1,23,1,150,2,151,52
209460,0,6,1,90,3,218,324
25183,0,6,1,120,2,75,237
35375,2,56,0,80,1,42,365
478395,0,6,1,175,2,370,204
473113,0,15,1,120,5,104,272
509341,0,12,1,140,7,13,0
509918,0,6,1,200,5,4,9
116599,0,3,0,165,4,11,365
31374,1,26,1,125,4,1,181
522065,1,4,2,65,7,131,0
523218,1,30,0,67,2,136,296
526653,2,61,0,50,1,43,88
526805,0,34,1,130,7,98,35
530032,0,12,0,100,3,31,0
465278,0,12,1,190,3,124,359
417504,0,20,0,599,3,9,60
251176,1,19,1,249,5,166,365
551055,1,2,0,60,3,380,247
552679,0,6,1,135,2,86,102
306739,0,20,1,175,3,248,274
3088389,1,8,1,120,5,49,201
572527,0,15,1,165,7,3,157
573316,1,2,0,90,1,1,0
571952,1,28,1,225,2,56,312
181376,0,13,0,95,2,163,331
314582,0,15,0,55,2,247,275
275582,1,7,0,85,10,116,174
579495,0,10,1,199,14,27,223
314941,1,23,1,211,1,52,361
582598,1,1,1,145,6,39,0
567187,1,2,0,65,14,35,283
127772,1,2,1,99,1,320,220
585166,2,56,1,110,4,30,363
209460,0,15,1,80,3,225,315
2248897,0,6,1,110,4,70,283
585458,1,14,0,290,2,35,20
138069,0,12,1,190,4,50,331
262812,0,12,1,200,2,29,36
611716,0,16,1,165,2,23,7
617990,1,2,1,110,2,142,301
622460,1,19,1,395,2,70,170
622855,0,6,0,99,2,38,307
308652,0,0,0,39,1,82,365
627217,1,19,1,189,2,403,201
620288,1,8,0,85,1,3,0
256161,1,2,1,122,1,116,271
275563,0,20,1,165,2,175,139
85330,2,63,1,97,3,28,209
651390,1,11,1,170,4,24,0
507186,0,12,1,125,2,15,0
653405,1,5,0,130,4,105,193
652842,0,12,1,225,10,22,52
663764,0,54,0,50,2,263,136
663879,0,13,1,170,3,86,286
665013,1,14,1,132,4,10,0
663384,0,16,1,250,7,18,18
674970,0,20,1,141,5,8,9
622866,0,12,1,249,3,150,277
683975,0,15,0,79,2,115,0
686147,1,19,1,185,2,69,233
686768,0,38,1,120,3,232,221
687361,0,16,1,495,1,35,355
689661,1,64,1,375,3,18,0
630453,1,64,1,175,3,68,277
277747,1,19,1,150,4,22,0
616825,1,2,1,259,8,17,343
299755,1,19,0,96,1,34,0
404424,0,12,1,145,7,8,0
706418,1,8,1,95,5,2,0
709434,0,17,1,250,4,52,188
709334,1,2,1,295,2,74,264
715807,1,52,1,175,3,18,0
716064,0,12,1,451,2,72,331
718349,1,8,1,165,2,191,236
716306,4,65,1,77,1,197,309
726333,1,23,1,250,4,19,0
722320,2,56,1,129,1,414,245
216191,0,12,0,98,2,8,0
731904,1,19,0,95,7,25,359
256161,1,2,0,55,3,119,333
732535,1,2,1,300,2,203,258
737585,0,20,1,125,2,104,22
739499,1,19,0,175,3,175,236
745069,1,2,0,75,3,38,365
758441,0,6,0,165,1,27,311
573065,0,12,1,165,5,117,23
759583,0,3,0,75,3,43,365
762563,0,20,1,130,5,4,0
465589,0,12,1,139,2,385,222
54275,0,6,0,88,1,64,238
54275,0,6,0,80,1,39,218
759883,1,14,0,150,2,37,0
769247,1,8,1,200,3,10,0
770831,1,19,1,200,2,103,235
772300,0,12,0,90,6,3,0
1856604,1,2,1,295,3,227,247
776490,0,12,1,450,5,37,15
776645,0,15,1,130,2,29,119
242506,0,12,0,89,3,205,0
781647,1,2,1,198,5,42,234
627217,1,19,1,99,2,280,257
32169,0,20,0,46,4,86,350
69439,1,27,0,140,2,54,221
787273,0,33,1,500,7,7,0
867225,1,45,0,75,5,57,201
792159,0,21,0,60,3,480,0
793620,1,30,0,75,2,34,222
795640,0,33,1,350,5,6,0
306605,1,14,1,205,9,3,76
795889,0,16,1,219,5,2,0
22486,0,16,0,60,1,20,258
789257,1,8,1,185,2,129,14
800982,1,19,1,190,3,147,27
803086,1,4,1,250,2,11,68
805344,1,2,0,65,2,41,59
806112,0,6,1,75,2,87,0
806214,4,66,0,37,4,117,232
806774,0,12,1,85,2,86,15
812814,1,4,1,79,2,15,0
67778,0,13,0,85,2,35,161
803086,1,2,0,170,2,17,88
302772,1,23,0,115,3,3,337
781647,1,2,0,89,5,43,247
826192,1,2,2,49,3,168,248
826459,0,20,0,91,3,241,287
829652,1,68,1,400,2,105,304
833926,0,21,1,150,2,11,0
842125,0,15,1,97,3,31,193
844862,1,19,0,100,4,49,43
846309,0,12,1,179,4,23,25
848748,0,20,1,500,2,20,127
848960,1,14,1,429,10,18,0
849492,1,26,1,189,6,90,303
21475,1,23,0,120,2,99,345
314941,1,64,1,300,1,6,115
872121,1,2,1,199,2,111,12
39260,1,4,1,120,2,86,268
873273,4,69,1,125,2,271,347
876054,0,12,0,70,2,227,37
889106,0,12,0,75,4,80,0
279078,0,6,1,99,2,187,287
904833,1,14,1,250,1,2,0
906200,0,12,1,350,6,1,233
909146,0,29,1,170,3,67,129
909234,1,19,1,165,1,63,0
179020,1,7,0,99,1,89,353
912541,1,14,0,255,4,1,365
489400,0,70,1,169,3,177,297
915640,0,15,1,99,4,90,56
918866,1,28,1,169,7,39,44
920542,0,6,1,160,3,42,355
922922,0,29,1,215,3,33,156
874471,0,16,1,130,3,179,273
923915,1,19,0,110,3,81,274
938056,2,39,0,75,2,160,65
48599,1,14,1,149,6,23,0
936830,1,8,0,89,6,35,180
940724,1,30,0,50,1,225,343
949221,0,24,0,43,1,401,43
949221,0,24,0,42,1,72,96
304493,0,12,0,85,1,46,59
953279,0,6,1,139,3,83,255
611716,0,16,0,105,1,211,252
953565,0,16,1,265,5,15,0
960836,1,7,1,149,1,122,20
964482,1,2,0,68,2,295,188
289135,0,6,1,99,3,207,304
971075,1,2,0,75,3,50,38
973438,0,12,0,100,2,273,254
988350,0,16,1,190,4,105,328
918087,0,6,0,67,4,72,0
1000477,1,28,1,190,1,8,0
51038,0,3,1,248,2,58,199
903686,0,12,0,100,6,8,249
464506,1,9,0,95,3,172,64
1007558,1,71,0,150,1,330,111
1010242,0,6,1,145,3,123,287
1011426,0,21,0,41,2,55,286
1012691,0,12,1,120,4,87,263
12221,4,72,0,50,3,258,276
1014639,0,13,1,157,2,4,0
1017473,0,12,1,195,14,31,263
1018472,0,73,1,70,4,128,90
1024355,0,12,1,185,3,14,0
1029021,0,6,1,145,3,30,11
306739,0,20,1,185,3,228,1
272730,1,19,1,250,1,60,0
1094178,1,71,1,230,2,179,44
1096084,0,34,1,100,7,9,0
293130,0,21,0,40,1,1,5
1109658,3,74,0,80,2,2,158
1112560,0,6,0,79,3,152,192
1114587,1,8,1,300,2,45,31
1129218,1,2,0,80,7,19,285
447754,0,76,1,110,1,24,183
759583,0,3,1,172,4,8,189
1138692,1,23,1,199,1,29,162
1138692,1,23,1,199,1,14,158
1139574,1,2,0,100,1,33,84
921500,1,2,0,55,4,99,260
918087,0,6,0,75,3,59,0
1144415,1,19,1,146,3,142,166
4887492,1,77,0,150,3,82,90
22486,0,16,0,120,2,23,342
1153993,1,14,1,199,4,32,28
1164642,0,29,1,150,5,24,363
1165231,1,2,0,69,1,59,86
991380,0,38,1,230,4,18,0
1173599,1,1,1,125,4,3,0
1112560,0,6,0,79,3,115,264
663879,0,13,0,130,3,154,305
1177497,0,3,0,239,1,164,356
1177947,3,78,1,75,6,76,278
815977,0,12,1,220,3,116,135
209460,0,6,1,80,3,234,308
1187935,1,19,1,288,2,120,229
1191142,0,6,1,135,4,82,273
1192424,1,11,1,225,3,13,83
1194377,0,6,1,100,7,63,321
1190088,1,7,0,130,2,52,303
1097545,1,19,0,89,1,278,192
507304,0,79,1,200,5,1,0
1203500,0,6,1,80,2,35,36
12221,4,80,0,50,5,235,271
1207399,1,19,0,90,1,109,333
1184442,1,27,0,270,5,1,210
1217241,0,6,1,110,3,305,231
763420,1,4,1,145,1,102,308
1012895,2,44,0,55,1,19,311
1223568,1,1,0,110,2,61,264
902054,1,2,1,325,5,89,153
1234405,0,10,1,300,1,40,0
1236817,1,23,1,200,3,100,191
1240820,0,12,1,180,2,125,248
4166168,0,40,1,350,5,40,67
65064,1,9,1,300,7,2,0
1257309,1,23,1,100,5,8,0
136962,0,13,0,85,5,124,69
1263176,0,29,0,55,1,147,293
1177497,0,3,0,438,1,43,363
1264655,0,6,1,110,6,8,4
1269455,1,11,1,200,2,37,257
1177497,0,3,0,279,1,120,362
1273825,0,12,1,137,1,24,0
1276497,0,6,1,280,3,5,365
714200,1,18,0,71,4,229,26
1260921,4,59,0,42,2,108,302
1288460,0,6,1,180,2,181,280
825022,1,14,1,226,5,34,302
283604,0,15,0,85,3,5,281
1292250,1,68,1,135,1,5,0
3647,2,81,1,79,4,60,297
936630,1,23,1,154,1,238,246
417504,0,20,1,199,3,34,60
605463,1,11,1,700,3,131,296
1306587,1,11,1,246,4,6,0
758441,0,6,0,100,1,7,281
1311398,0,12,1,295,5,125,0
1311870,1,9,1,119,1,49,0
1313306,1,2,0,125,1,11,365
1314834,1,52,1,850,3,107,249
1278802,0,12,0,129,2,241,303
1317343,1,8,0,140,1,176,300
297769,1,9,0,115,4,151,323
1325961,1,4,1,200,3,49,0
417504,0,20,1,199,3,33,60
417504,0,20,1,199,3,24,84
417504,0,20,1,199,3,59,60
1331493,0,82,0,69,1,2,303
1331850,1,8,1,185,2,16,261
1332108,1,2,0,81,2,72,0
417504,0,20,1,199,3,24,60
417504,0,20,1,199,3,23,60
417504,0,20,1,199,3,43,60
417504,0,20,1,199,3,30,56
417504,0,20,1,199,3,39,84
417504,0,20,0,349,3,8,58
417504,0,20,0,249,3,3,60
417504,0,20,0,299,3,6,60
417504,0,20,0,179,3,4,81
1267021,2,83,0,54,5,56,365
417504,0,20,0,599,3,7,60
1336542,0,3,1,110,1,2,0
1340007,0,21,1,220,2,178,297
1343630,0,6,1,170,2,190,315
506779,1,64,1,495,7,25,338
1346437,2,39,1,80,10,81,40
1347034,1,14,1,760,2,7,361
1348494,0,36,0,98,4,216,288
1356046,0,12,0,64,3,247,117
1358312,0,3,1,154,3,233,0
1354758,0,16,1,139,3,135,204
1233267,2,85,0,75,4,20,0
436599,1,11,1,325,4,46,20
1360043,1,2,0,58,1,143,0
1360198,3,86,1,250,2,21,333
1360198,3,86,1,125,2,8,353
52335,0,13,1,70,7,4,0
480943,1,28,1,189,2,314,206
696482,0,6,1,130,3,18,1
1370358,1,11,1,145,7,11,0
568103,1,43,0,101,7,51,307
1372786,1,14,0,95,5,20,0
1359519,1,11,1,375,7,8,0
1376778,0,54,1,92,4,54,27
535128,1,23,0,80,5,10,348
605463,1,11,1,300,4,153,246
1380060,0,13,1,145,3,110,15
1020539,1,19,0,88,2,69,0
1381171,1,2,1,155,1,1,5
1384111,2,39,0,73,2,95,0
1384559,1,8,1,225,2,129,107
305972,1,45,0,85,7,171,144
21188,0,15,0,99,2,20,98
1390947,1,71,1,200,5,8,0
1392440,1,28,1,485,7,11,0
1394190,1,64,1,310,5,5,89
1397115,1,23,1,195,4,68,271
1402454,2,87,0,55,1,38,0
1402951,4,88,0,50,2,15,337
164675,0,0,0,60,2,20,347
661399,1,4,0,99,3,25,127
1406773,1,2,1,130,2,35,41
1408733,1,14,1,350,3,64,18
1410714,0,15,0,50,3,26,158
1413098,2,25,0,96,2,244,270
1366310,2,31,0,85,2,270,306
1398639,0,6,0,34,10,16,216
1415590,1,19,1,250,3,24,16
1315849,0,12,0,190,1,30,365
1315849,0,12,0,75,2,5,365
1217923,0,24,1,93,4,115,312
1417166,0,6,0,60,5,9,33
1417166,0,6,0,65,5,45,0
1362808,1,28,1,300,3,5,27
1423798,1,52,1,150,2,203,300
1195295,1,19,1,299,3,49,365
511993,0,20,0,60,4,6,303
1402817,0,13,1,88,5,7,0
1427381,0,12,0,60,2,35,161
605463,1,11,1,1300,5,28,297
1433395,1,2,0,99,2,54,50
1434654,0,21,1,110,3,115,28
1434931,0,3,1,135,5,6,317
1417757,0,6,1,165,3,204,80
130901,0,29,1,402,3,89,340
305972,1,2,0,85,6,130,97
1447684,0,20,0,75,7,15,365
950657,0,24,1,70,6,58,0
1451723,1,4,0,50,3,208,339
1452026,2,56,0,30,5,3,0
368528,0,15,0,64,1,1,0
1455825,1,2,1,300,3,2,365
1420300,0,6,1,800,4,122,257
240427,0,6,1,100,3,63,5
1151818,0,15,1,250,5,26,0
1468658,0,20,1,140,5,14,0
1469036,1,2,0,130,1,107,304
36897,1,9,1,90,3,107,0
1464358,0,6,0,97,3,29,118
322934,0,34,1,91,6,69,265
1474071,0,16,0,125,3,232,303
511175,1,19,1,180,7,24,125
1476954,1,7,1,175,3,10,0
1366270,0,10,0,65,4,36,80
1482460,1,11,1,240,5,94,134
1475866,1,19,0,300,6,1,0
1486034,1,14,1,385,1,63,364
1491538,0,15,1,110,3,238,297
1492339,1,2,0,75,2,101,0
1029021,0,6,1,100,3,21,43
1495090,1,7,1,165,2,72,10
1495196,0,6,1,300,2,40,0
1495141,0,36,1,140,3,103,189
1495502,0,12,1,120,6,66,17
1498424,0,13,1,175,3,35,289
347036,1,19,1,179,8,15,0
632334,0,33,1,189,2,13,0
1502469,1,19,1,219,2,129,220
815741,1,27,1,249,5,8,0
1454655,2,25,0,65,2,5,362
1505217,0,20,1,250,4,46,121
1470688,1,8,1,209,7,14,205
1321504,0,15,1,120,5,37,310
1509416,2,56,1,70,5,1,0
1490696,1,11,0,90,3,209,236
169927,1,7,1,199,3,4,200
1495502,0,12,1,157,4,54,12
417504,0,20,1,199,3,43,84
1521432,2,56,1,192,3,7,0
417504,0,20,1,199,3,75,84
45682,1,8,1,150,1,88,0
417504,0,20,1,199,3,73,56
417504,0,20,1,199,3,89,62
417504,0,20,1,199,3,23,81
1521604,0,12,1,105,3,11,0
417504,0,20,1,199,3,54,60
1523610,0,12,0,125,3,17,0
1387286,0,12,0,60,7,1,0
1525761,0,12,1,85,1,73,0
568585,1,8,1,300,3,36,29
496164,0,12,0,75,2,98,264
1528912,2,81,0,55,1,63,341
1530106,0,15,0,44,5,2,0
1530310,0,6,0,55,5,18,0
839679,0,12,0,30,3,24,0
997124,0,13,0,35,3,1,0
1535987,0,12,0,70,1,2,363
1536533,0,12,1,130,14,23,25
1539749,0,6,0,52,2,93,0
787261,1,27,1,250,5,152,109
1220404,0,70,1,100,1,119,289
1557998,0,20,1,130,4,9,188
1550578,1,2,0,140,2,44,260
1555897,0,22,0,75,2,158,168
8605,1,4,1,150,7,12,0
1561505,1,4,1,90,3,51,311
185753,1,8,1,150,2,11,2
1570170,0,12,1,180,3,236,242
1577493,0,13,0,135,3,16,0
1577961,0,21,0,65,5,123,46
1586945,1,8,0,99,3,14,365
1590548,0,20,0,149,14,65,364
1390555,3,89,0,59,1,50,352
745069,1,2,0,75,3,33,301
745069,1,2,0,75,3,30,322
1597481,0,6,0,75,3,13,298
72747,0,15,1,225,4,1,342
1601664,1,4,0,86,3,216,250
142147,2,44,0,52,2,98,326
1606222,0,29,0,100,2,61,90
1617817,1,19,0,89,3,136,193
279078,0,6,1,135,2,39,293
1631400,1,11,1,199,14,65,155
1631733,0,0,1,89,3,62,189
1632149,1,2,0,110,3,47,248
1633100,0,21,1,120,2,42,238
1639120,0,12,0,59,3,207,284
9647066,0,90,0,49,4,72,343
1639884,0,20,0,79,14,22,268
516347,0,10,1,185,2,215,291
1366194,0,12,1,225,4,26,0
1644452,1,68,1,245,5,18,0
1644999,1,30,1,115,3,18,31
1649300,0,12,1,325,2,320,0
1651591,0,12,0,95,2,160,79
1610852,1,11,0,120,2,78,0
1639120,0,12,0,75,2,219,277
1660724,1,28,0,109,1,66,353
1661965,0,12,1,160,3,25,0
92788,1,28,1,219,4,102,280
668564,1,28,1,159,2,32,7
51038,0,3,0,180,3,15,266
82896,1,19,1,150,5,1,0
1675255,1,26,1,106,3,12,271
1676487,1,1,1,299,10,19,101
1013131,1,8,1,179,3,297,205
890215,0,15,1,165,3,12,343
1680375,0,22,1,500,4,9,0
312288,1,18,0,87,7,46,310
1697784,0,12,0,79,4,42,52
1698391,1,7,0,75,2,118,312
547177,1,2,0,80,1,15,329
1709216,0,54,1,115,3,64,333
1709216,0,54,1,115,3,51,327
1709216,0,54,1,120,3,79,349
1711529,1,2,0,125,3,202,217
1723485,1,8,1,387,1,23,0
1732559,1,7,0,95,6,62,80
483013,1,8,1,99,2,36,0
168417,1,28,1,121,1,16,351
1740233,1,7,1,350,4,24,362
1740216,1,2,0,75,2,77,144
1732559,1,7,0,95,5,110,43
10609846,1,2,0,89,1,56,365
1746209,1,11,0,195,1,7,129
1755339,1,52,0,100,3,7,0
562614,1,23,1,140,1,53,0
251176,1,19,1,189,3,265,355
74777,0,15,1,145,14,46,38
1747222,0,16,1,125,5,6,31
417652,1,14,1,265,4,75,324
1785800,0,24,0,77,5,11,365
1786901,1,28,0,60,3,5,0
314377,1,9,1,129,3,132,171
1474749,1,19,1,199,6,41,36
1797859,0,24,0,92,7,34,332
1251762,0,15,1,185,3,34,0
684129,1,1,1,110,7,27,192
1631288,0,12,0,65,4,30,139
1386983,1,1,0,135,3,214,167
390251,1,2,0,175,2,6,10
1840564,0,12,0,72,3,156,110
1842714,0,16,0,80,2,30,0
774128,0,15,1,125,5,1,0
1728785,0,20,0,120,5,3,242
179679,0,12,0,94,2,272,22
1863447,0,29,0,56,3,63,0
1869567,0,20,1,190,2,5,0
1879389,0,12,0,129,3,63,87
1884204,0,6,1,85,5,268,202
1887999,3,91,0,20,3,80,226
1895957,1,8,1,145,3,22,0
1900800,1,7,1,200,7,13,327
438133,0,16,1,125,4,23,262
732535,1,2,0,160,3,10,359
732535,1,2,0,180,3,14,348
1928213,1,18,0,100,1,20,0
1930204,0,12,0,70,5,2,0
1931205,4,92,1,120,2,47,318
773928,3,93,0,110,2,6,363
1935291,1,28,0,105,7,93,70
1935605,1,1,1,250,3,116,0
390251,1,2,1,165,2,70,15
